age,salary,experience_years,department,gender,performance_score,is_promoted
23,45000,1,Engineering,Male,72,0
31,67000,5,Marketing,Female,85,1
45,92000,15,Engineering,Male,91,1
28,52000,3,HR,Female,68,0
36,78000,8,Finance,Male,88,1
52,105000,22,Engineering,Female,95,1
29,48000,2,Marketing,Male,61,0
41,83000,12,Finance,Female,79,0
33,71000,7,HR,Male,84,1
27,43000,1,Engineering,Female,55,0
48,98000,18,Finance,Male,92,1
35,74000,9,Marketing,Female,77,0
39,81000,11,Engineering,Male,86,1
26,41000,1,HR,Female,63,0
44,89000,14,Finance,Male,90,1
30,58000,4,Marketing,Female,73,0
55,112000,25,Engineering,Male,97,1
32,65000,6,HR,Female,70,0
38,79000,10,Finance,Male,82,1
25,39000,1,Marketing,Female,58,0
47,94000,17,Engineering,Male,89,1
34,72000,8,HR,Female,76,0
42,86000,13,Finance,Male,87,1
29,50000,3,Marketing,Female,65,0
51,108000,21,Engineering,Male,94,1
37,77000,9,HR,Female,80,0
43,88000,14,Finance,Male,91,1
28,46000,2,Marketing,Female,62,0
46,96000,16,Engineering,Male,93,1
31,62000,5,HR,Female,71,0
40,84000,12,Finance,Male,85,1
27,44000,1,Marketing,Female,57,0
49,101000,19,Engineering,Male,96,1
33,69000,7,HR,Female,75,0
36,75000,9,Finance,Male,83,1
24,38000,1,Marketing,Female,54,0
53,110000,23,Engineering,Male,98,1
30,56000,4,HR,Female,69,0
39,80000,11,Finance,Male,88,1
26,42000,1,Marketing,Female,60,0
